region_iso,date,population
BG-18,2021-02-23,235252
BG-18,2021-02-06,235252
BG-19,2021-02-12,119474
BG-19,2021-02-06,119474
BG-19,2021-02-23,119474
BG-19,2021-02-13,119474
BG-19,2021-02-14,119474
BG-19,2021-02-20,119474
BG-19,2021-02-24,119474
BG-20,2021-02-06,197473
BG-20,2021-02-14,197473
BG-20,2021-02-12,197473
BG-20,2021-02-23,197473
BG-20,2021-02-24,197473
BG-20,2021-02-13,197473
BG-20,2021-02-20,197473
BG-21,2021-02-24,109425
BG-21,2021-02-23,109425
BG-21,2021-02-06,109425
BG-21,2021-02-14,109425
BG-21,2021-02-12,109425
BG-21,2021-02-20,109425
BG-21,2021-02-13,109425
BG-22,2021-02-14,1291591
BG-22,2021-02-06,1291591
BG-22,2021-02-23,1291591
BG-22,2021-02-20,1291591
BG-22,2021-02-24,1291591
BG-22,2021-02-12,1291591
BG-22,2021-02-13,1291591
BG-23,2021-02-06,247489
BG-23,2021-02-20,247489
BG-23,2021-02-23,247489
BG-23,2021-02-14,247489
BG-23,2021-02-12,247489
BG-23,2021-02-13,247489
BG-23,2021-02-24,247489
BG-24,2021-02-24,333265
BG-24,2021-02-20,333265
BG-24,2021-02-06,333265
BG-24,2021-02-12,333265
BG-24,2021-02-14,333265
BG-24,2021-02-23,333265
BG-24,2021-02-13,333265
BG-25,2021-02-24,115211
BG-25,2021-02-23,115211
BG-25,2021-02-13,115211
BG-25,2021-02-12,115211
BG-25,2021-02-20,115211
BG-25,2021-02-14,115211
BG-25,2021-02-06,115211
BG-26,2021-02-23,246238
BG-26,2021-02-06,246238
BG-26,2021-02-20,246238
BG-26,2021-02-24,246238
BG-26,2021-02-13,246238
BG-26,2021-02-12,246238
BG-26,2021-02-14,246238
BG-27,2021-02-06,180528
BG-28,2021-02-23,123821
BG-28,2021-02-12,123821
BG-28,2021-02-13,123821
BG-28,2021-02-24,123821
BG-28,2021-02-20,123821
BG-28,2021-02-06,123821
BG-28,2021-02-14,123821
BR-AC,2021-02-06,881935
BR-AC,2021-02-24,881935
BR-AC,2021-02-23,881935
BR-AC,2021-02-20,881935
BR-AC,2021-02-14,881935
BR-AC,2021-02-13,881935
BR-AC,2021-02-12,881935
BR-AL,2021-02-23,3322820
BR-AL,2021-02-12,3322820
BR-AL,2021-02-13,3322820
BR-AL,2021-02-20,3322820
BR-AL,2021-02-06,3322820
BR-AL,2021-02-24,3322820
BR-AL,2021-02-14,3322820
BR-AM,2021-02-06,4063614
BR-AM,2021-02-20,4063614
BR-AM,2021-02-13,4063614
BR-AM,2021-02-12,4063614
BR-AM,2021-02-23,4063614
BR-AM,2021-02-24,4063614
BR-AM,2021-02-14,4063614
BR-AP,2021-02-24,797722
BR-AP,2021-02-14,797722
BR-AP,2021-02-12,797722
BR-AP,2021-02-23,797722
BR-AP,2021-02-20,797722
BR-AP,2021-02-06,797722
BR-AP,2021-02-13,797722
BR-BA,2021-02-23,15344447
BR-BA,2021-02-24,15344447
BR-BA,2021-02-20,15344447
BR-BA,2021-02-12,15344447
BR-BA,2021-02-14,15344447
BR-BA,2021-02-13,15344447
BR-BA,2021-02-06,15344447
BR-CE,2021-02-13,9020460
BR-CE,2021-02-24,9020460
BR-CE,2021-02-12,9020460
BR-CE,2021-02-06,9020460
BR-CE,2021-02-14,9020460
BR-CE,2021-02-23,9020460
BR-CE,2021-02-20,9020460
BR-DF,2021-02-24,3039444
BR-DF,2021-02-23,3039444
BR-DF,2021-02-14,3039444
BR-DF,2021-02-12,3039444
BR-DF,2021-02-06,3039444
BR-DF,2021-02-20,3039444
BR-DF,2021-02-13,3039444
BR-ES,2021-02-06,3885049
BR-ES,2021-02-20,3885049
BR-ES,2021-02-12,3885049
BR-ES,2021-02-14,3885049
BR-ES,2021-02-23,3885049
BR-ES,2021-02-24,3885049
BR-ES,2021-02-13,3885049
BR-GO,2021-02-06,6778772
BR-GO,2021-02-24,6778772
BR-GO,2021-02-14,6778772
BR-GO,2021-02-23,6778772
BR-GO,2021-02-12,6778772
BR-GO,2021-02-13,6778772
BR-GO,2021-02-20,6778772
BR-MA,2021-02-06,7000229
BR-MA,2021-02-14,7000229
BR-MA,2021-02-20,7000229
BR-MA,2021-02-12,7000229
BR-MA,2021-02-24,7000229
BR-MA,2021-02-13,7000229
BR-MA,2021-02-23,7000229
BR-MG,2021-02-24,21119536
BR-MG,2021-02-06,21119536
BR-MG,2021-02-12,21119536
BR-MG,2021-02-14,21119536
BR-MG,2021-02-23,21119536
BR-MG,2021-02-20,21119536
BR-MG,2021-02-13,21119536
BR-MS,2021-02-23,2713147
BR-MS,2021-02-06,2713147
BR-MS,2021-02-14,2713147
BR-MS,2021-02-24,2713147
BR-MS,2021-02-13,2713147
BR-MS,2021-02-20,2713147
BR-MS,2021-02-12,2713147
BR-MT,2021-02-23,3344544
BR-MT,2021-02-24,3344544
BR-MT,2021-02-06,3344544
BR-MT,2021-02-14,3344544
BR-MT,2021-02-20,3344544
BR-MT,2021-02-13,3344544
BR-MT,2021-02-12,3344544
BR-PA,2021-02-20,8366628
BR-PA,2021-02-06,8366628
BR-PA,2021-02-13,8366628
BR-PA,2021-02-23,8366628
BR-PA,2021-02-12,8366628
BR-PA,2021-02-14,8366628
BR-PA,2021-02-24,8366628
BR-PB,2021-02-14,4025558
BR-PB,2021-02-06,4025558
BR-PB,2021-02-13,4025558
BR-PB,2021-02-12,4025558
BR-PB,2021-02-20,4025558
BR-PB,2021-02-24,4025558
BR-PB,2021-02-23,4025558
BR-PE,2021-02-23,9473266
BR-PE,2021-02-12,9473266
BR-PE,2021-02-20,9473266
BR-PE,2021-02-13,9473266
BR-PE,2021-02-06,9473266
BR-PE,2021-02-24,9473266
BR-PE,2021-02-14,9473266
BR-PI,2021-02-20,3219257
BR-PI,2021-02-13,3219257
BR-PI,2021-02-06,3219257
BR-PI,2021-02-23,3219257
BR-PI,2021-02-12,3219257
BR-PI,2021-02-14,3219257
